Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality,AQI,Green_Cover
29.8,59.1,5.2,17.9,18.9,9.2,1.72,6.3,319,Moderate,141.0,39.09
28.3,75.6,2.3,12.2,30.8,9.7,1.64,6.0,611,Moderate,163.0,12.63
23.1,74.7,26.7,33.8,24.4,12.6,1.63,5.2,619,Moderate,117.0,15.59
27.1,39.1,6.1,6.3,13.5,5.3,1.15,11.1,551,Good,53.0,38.15
26.5,70.7,6.9,16.0,21.9,5.6,1.01,12.7,303,Good,56.0,42.99
39.4,89.65869412362484,14.6,35.5,42.9,17.9,1.82,3.1,674,Hazardous,451.0,11.98
41.7,82.5,1.7,15.8,31.1,12.7,1.8,4.6,735,Poor,258.0,24.28
31.0,59.6,5.0,16.8,24.2,13.6,1.38,6.3,443,Moderate,165.0,25.17
29.4,77.1262646572374,10.3,22.7,45.1,11.8,2.03,5.4,486,Poor,202.0,25.37
33.2,80.5,11.1,24.4,32.0,15.3,1.69,4.9,535,Poor,310.0,16.17
26.3,65.7,1.3,5.5,18.3,5.9,0.85,13.0,529,Good,60.0,42.46
32.5,51.2,1.6,10.5,21.6,19.3,1.53,5.9,519,Moderate,142.0,27.77
20.0,53.3,3.7,12.9,26.1,6.6,1.09,10.2,538,Good,70.0,43.21
28.6,53.7,28.9,34.0,23.2,4.5,1.02,11.0,508,Good,41.0,26.77
22.3,80.5,4.5,12.0,17.2,6.3,1.18,10.4,232,Good,83.0,40.88
32.0,78.9,22.4,29.9,27.5,11.8,1.48,7.9,444,Moderate,192.0,15.66
22.9,75.4,4.5,10.4,18.4,3.7,0.96,14.4,359,Good,96.0,48.37
37.6,81.2,28.1,56.6,46.7,13.7,1.85,4.1,560,Poor,208.0,29.91
34.7,59.3,9.0,15.7,28.5,7.1,1.52,6.1,437,Moderate,120.0,10.96
37.8,75.22853990763772,0.6,24.6,37.1,11.7,1.13,7.7,803,Poor,347.0,28.19
27.6,44.1,3.5,14.4,30.7,9.4,0.97,8.0,338,Moderate,137.0,26.49
27.6,77.5,3.8,10.9,9.1,1.7,1.04,14.4,520,Good,70.0,39.11
25.6,58.3,0.4,-0.2,25.3,4.5,0.98,10.0,536,Good,93.0,22.21
24.6,48.4,8.3,15.4,23.3,4.6,1.03,11.2,461,Good,81.0,35.44
26.2,49.9,0.5,2.0,22.9,2.3,0.94,17.9,581,Good,66.0,25.24
22.6,62.1,16.4,21.3,17.6,4.8,0.93,11.5,324,Good,40.0,44.06
30.0,69.2,2.0,3.9,15.3,5.2,1.09,10.1,297,Good,52.0,58.04
37.6,72.2,10.1,16.6,32.2,6.3,1.85,3.5,637,Poor,366.0,21.9
29.6,65.6,3.4,9.3,20.6,2.9,1.03,10.2,452,Good,74.0,36.55
52.5,83.9,67.5,91.2,31.6,34.6,2.31,2.9,785,Hazardous,613.0,12.68
44.7,84.14840778374737,34.6,57.3,28.1,22.6,1.78,3.5,562,Hazardous,452.0,11.04
23.3,45.2,24.0,29.0,26.6,5.3,0.96,10.9,575,Good,66.0,28.17
35.4,75.24230888646255,20.5,33.2,34.4,11.7,1.85,5.1,440,Poor,323.0,27.84
29.7,85.8,84.4,94.4,26.7,19.8,1.55,10.0,744,Poor,325.0,19.55
21.8,79.6,7.1,16.8,14.5,6.0,0.91,10.8,455,Good,46.0,37.2
27.7,86.1,83.3,93.5,25.3,6.8,1.71,7.4,594,Moderate,113.0,17.28
27.5,78.9,30.2,34.1,15.3,3.0,0.98,11.1,472,Good,59.0,41.77
28.0,72.2,18.5,25.0,24.9,6.1,1.32,13.2,480,Good,48.0,34.41
22.2,50.0,2.3,8.4,23.5,3.7,0.96,10.2,547,Good,85.0,36.28
33.3,70.1,55.1,72.7,40.5,30.7,2.12,4.9,612,Hazardous,423.0,17.01
37.5,83.7,3.1,2.2,39.5,29.2,2.61,2.5,898,Hazardous,537.0,22.17
30.9,79.74833242959515,48.3,67.1,31.4,23.3,1.75,4.3,779,Poor,226.0,18.65
39.3,78.9,68.9,85.2,43.7,13.0,1.7,8.5,570,Poor,260.0,15.79
24.7,64.9,17.3,37.0,27.2,14.9,1.48,5.5,453,Poor,318.0,10.75
27.8,62.8,8.7,13.2,29.7,15.8,1.4,8.1,604,Moderate,167.0,14.8
17.4,56.5,2.6,6.9,21.0,3.5,0.92,11.6,475,Good,69.0,37.93
18.1,70.1,3.1,8.1,19.7,5.8,1.18,12.9,273,Good,60.0,48.96
25.6,78.1,1.1,5.2,21.3,6.1,0.89,10.9,524,Good,53.0,41.76
22.4,69.3,2.2,8.4,19.6,3.0,0.92,10.2,339,Good,95.0,47.28
25.3,47.4,70.7,84.8,22.4,8.2,1.59,13.2,587,Moderate,114.0,39.99
42.1,89.8,12.1,35.3,41.4,30.4,2.67,2.8,861,Hazardous,475.0,15.1
27.5,45.3,2.8,10.1,13.7,4.1,0.82,10.6,236,Good,68.0,45.05
